dataset,train_per_class,train_rows,test_per_class_cap,test_rows,seed,test_selection_seed,schedule,schedule_family,learning_rate,eta0,accuracy,macro_f1,log_loss,fit_seconds,n_iter,convergence_warning_count
ag_news,16,64,500,2000,14,20260830,constant_001,constant,constant,0.001,0.489,0.4829783954908062,1.3857232874024872,0.0050146860000950255,6,0
ag_news,16,64,500,2000,14,20260830,invscaling_001,invscaling,invscaling,0.001,0.502,0.4890522209984618,1.3862360930089765,0.0048333220001950394,6,0
ag_news,16,64,500,2000,14,20260830,adaptive_001,adaptive,adaptive,0.001,0.4895,0.4837537527623728,1.3856039271875566,0.00491243100009342,31,0
ag_news,16,64,500,2000,14,20260830,optimal_builtin,optimal,optimal,0.001,0.469,0.46970636280104777,2.292220231666199,0.004576940999868384,9,0
ag_news,16,64,500,2000,14,20260830,constant_01,constant,constant,0.01,0.498,0.4972799266296115,1.2553225979125773,0.006609278000041741,163,0
ag_news,16,64,500,2000,14,20260830,adaptive_01,adaptive,adaptive,0.01,0.498,0.4972799266296115,1.254699606980108,0.00768703100015955,193,0
ag_news,16,64,500,2000,52,20260830,constant_001,constant,constant,0.001,0.4875,0.4744094022378612,1.3856453267139255,0.004442803000074491,6,0
ag_news,16,64,500,2000,52,20260830,invscaling_001,invscaling,invscaling,0.001,0.44,0.4065548941815867,1.3862309679988147,0.004572453000037058,6,0
ag_news,16,64,500,2000,52,20260830,adaptive_001,adaptive,adaptive,0.001,0.4875,0.4744094022378612,1.385509706282061,0.0407420839999304,31,0
ag_news,16,64,500,2000,52,20260830,optimal_builtin,optimal,optimal,0.001,0.475,0.4741928205951319,2.21791848371153,0.004427844000019832,10,0
ag_news,16,64,500,2000,52,20260830,constant_01,constant,constant,0.01,0.498,0.49262810196633794,1.241486076419782,0.006870203000062247,171,0
ag_news,16,64,500,2000,52,20260830,adaptive_01,adaptive,adaptive,0.01,0.498,0.49262810196633794,1.24083691752534,0.007239303000005748,201,0
ag_news,16,64,500,2000,88,20260830,constant_001,constant,constant,0.001,0.4695,0.4517206468183892,1.3856963213853264,0.004156831000045713,6,0
ag_news,16,64,500,2000,88,20260830,invscaling_001,invscaling,invscaling,0.001,0.453,0.42226658501508796,1.3862342883445158,0.004215874000010444,6,0
ag_news,16,64,500,2000,88,20260830,adaptive_001,adaptive,adaptive,0.001,0.4695,0.4517206468183892,1.3855713714669533,0.004795094999963112,31,0
ag_news,16,64,500,2000,88,20260830,optimal_builtin,optimal,optimal,0.001,0.465,0.4577270954087728,2.327192442270901,0.004139015999953699,10,0
ag_news,16,64,500,2000,88,20260830,constant_01,constant,constant,0.01,0.486,0.4745808767951625,1.2573811050965864,0.006592781999870567,165,0
ag_news,16,64,500,2000,88,20260830,adaptive_01,adaptive,adaptive,0.01,0.486,0.4745808767951625,1.2568282333555203,0.006667493999884755,195,0
ag_news,16,64,500,2000,121,20260830,constant_001,constant,constant,0.001,0.4695,0.4638181678879384,1.3857773609599873,0.004327664000129516,6,0
ag_news,16,64,500,2000,121,20260830,invscaling_001,invscaling,invscaling,0.001,0.4625,0.4596143000687849,1.3862445197903523,0.004379408999966472,6,0
ag_news,16,64,500,2000,121,20260830,adaptive_001,adaptive,adaptive,0.001,0.4695,0.4638181678879384,1.38566930994948,0.004657550000047195,31,0
ag_news,16,64,500,2000,121,20260830,optimal_builtin,optimal,optimal,0.001,0.455,0.4511485821808447,2.402008283910468,0.004394665000063469,9,0
ag_news,16,64,500,2000,121,20260830,constant_01,constant,constant,0.01,0.4815,0.4808372003129207,1.2656063335266163,0.006398794000006092,168,0
ag_news,16,64,500,2000,121,20260830,adaptive_01,adaptive,adaptive,0.01,0.4815,0.4808372003129207,1.2650123368705748,0.007018319000053452,198,0
ag_news,16,64,500,2000,169,20260830,constant_001,constant,constant,0.001,0.557,0.5464955603942734,1.3855637921222983,0.00419036700009201,6,0
ag_news,16,64,500,2000,169,20260830,invscaling_001,invscaling,invscaling,0.001,0.559,0.5507683383926112,1.3862220220685626,0.004526720000058049,6,0
ag_news,16,64,500,2000,169,20260830,adaptive_001,adaptive,adaptive,0.001,0.557,0.5464955603942734,1.3854111874397412,0.004755100000011225,31,0
ag_news,16,64,500,2000,169,20260830,optimal_builtin,optimal,optimal,0.001,0.5235,0.52206883520505,1.7909473377819687,0.004557348999924216,9,0
ag_news,16,64,500,2000,169,20260830,constant_01,constant,constant,0.01,0.5675,0.5613919562796161,1.2117204275741364,0.00653445200009628,170,0
ag_news,16,64,500,2000,169,20260830,adaptive_01,adaptive,adaptive,0.01,0.567,0.5609663561857376,1.210892200524734,0.0073730320000322536,200,0
ag_news,16,64,500,2000,203,20260830,constant_001,constant,constant,0.001,0.49,0.4849536856739,1.3856171956043348,0.004389495000168608,6,0
ag_news,16,64,500,2000,203,20260830,invscaling_001,invscaling,invscaling,0.001,0.4485,0.4303820157097669,1.3862294208985777,0.004421876999913366,6,0
ag_news,16,64,500,2000,203,20260830,adaptive_001,adaptive,adaptive,0.001,0.49,0.4849536856739,1.3854757318541118,0.005150103999994826,31,0
ag_news,16,64,500,2000,203,20260830,optimal_builtin,optimal,optimal,0.001,0.4925,0.49464873551184113,2.0427869194728556,0.004500237999991441,9,0
ag_news,16,64,500,2000,203,20260830,constant_01,constant,constant,0.01,0.5005,0.49867054782983694,1.2313562895966133,0.006576840999969136,167,0
ag_news,16,64,500,2000,203,20260830,adaptive_01,adaptive,adaptive,0.01,0.5005,0.49867054782983694,1.2306564444196375,0.006996820000040316,197,0
ag_news,16,64,500,2000,247,20260830,constant_001,constant,constant,0.001,0.4825,0.474350171974451,1.3856532348991595,0.004351618000100643,6,0
ag_news,16,64,500,2000,247,20260830,invscaling_001,invscaling,invscaling,0.001,0.476,0.4474966985901011,1.3862319526032107,0.004440597999973761,6,0
ag_news,16,64,500,2000,247,20260830,adaptive_001,adaptive,adaptive,0.001,0.4825,0.474350171974451,1.3855193110108153,0.00467646600009175,31,0
ag_news,16,64,500,2000,247,20260830,optimal_builtin,optimal,optimal,0.001,0.473,0.4707560394424627,2.350686162813413,0.004382486999929824,9,0
ag_news,16,64,500,2000,247,20260830,constant_01,constant,constant,0.01,0.488,0.4820086833419648,1.2479722204197818,0.006685034999918571,167,0
ag_news,16,64,500,2000,247,20260830,adaptive_01,adaptive,adaptive,0.01,0.488,0.4820086833419648,1.2473979797017114,0.006956556000204728,197,0
ag_news,16,64,500,2000,314,20260830,constant_001,constant,constant,0.001,0.484,0.4734029086207693,1.3857954546039526,0.00482517899990853,6,0
ag_news,16,64,500,2000,314,20260830,invscaling_001,invscaling,invscaling,0.001,0.4095,0.3474061388346509,1.3862448535214464,0.004329542999812475,6,0
ag_news,16,64,500,2000,314,20260830,adaptive_001,adaptive,adaptive,0.001,0.484,0.4734029086207693,1.385691139999915,0.00471139299997958,31,0
ag_news,16,64,500,2000,314,20260830,optimal_builtin,optimal,optimal,0.001,0.4755,0.474056597819303,2.312063666550833,0.004364415000054578,9,0
