dataset,n_samples,n_features,n_classes,train_per_class,train_rows,test_rows,seed,schedule,schedule_family,learning_rate,eta0,accuracy,macro_f1,log_loss,fit_seconds,n_iter,convergence_warning_count,status
wine,178,13,3,4,12,166,14,constant_0003,constant,constant,0.0003,0.8795180722891566,0.8788399872623729,0.754753099591811,0.0023302979971049353,172,0,PASS
wine,178,13,3,4,12,166,14,constant_001,constant,constant,0.001,0.9156626506024096,0.9154015992361857,0.5379676476383802,0.0017950929977814667,162,0,PASS
wine,178,13,3,4,12,166,14,constant_003,constant,constant,0.003,0.9216867469879518,0.9215635863393965,0.41022126155098393,0.0013972169981570914,117,0,PASS
wine,178,13,3,4,12,166,14,invscaling_0003,invscaling,invscaling,0.0003,0.8614457831325302,0.8602532524946319,1.093876744922469,0.0012532309992820956,7,0,PASS
wine,178,13,3,4,12,166,14,invscaling_001,invscaling,invscaling,0.001,0.8674698795180723,0.8664811909906177,1.075971890310619,0.0012149109970778227,16,0,PASS
wine,178,13,3,4,12,166,14,invscaling_003,invscaling,invscaling,0.003,0.8674698795180723,0.8664811909906177,0.9819015096294478,0.0012496659983298741,57,0,PASS
wine,178,13,3,4,12,166,14,adaptive_0003,adaptive,adaptive,0.0003,0.8795180722891566,0.8788399872623729,0.7533006113225904,0.0015386129962280393,192,0,PASS
wine,178,13,3,4,12,166,14,adaptive_001,adaptive,adaptive,0.001,0.9156626506024096,0.9154015992361857,0.5364309302083228,0.0016686980015947483,187,0,PASS
wine,178,13,3,4,12,166,14,adaptive_003,adaptive,adaptive,0.003,0.9216867469879518,0.9215635863393965,0.4086538769602931,0.0013468019969877787,142,0,PASS
wine,178,13,3,4,12,166,52,constant_0003,constant,constant,0.0003,0.8795180722891566,0.8805191329943804,0.7491542988180995,0.001375571002427023,185,0,PASS
wine,178,13,3,4,12,166,52,constant_001,constant,constant,0.001,0.891566265060241,0.8926378539493293,0.5455763975185234,0.001365036005154252,166,0,PASS
wine,178,13,3,4,12,166,52,constant_003,constant,constant,0.003,0.8975903614457831,0.8987106840765376,0.4319066708175237,0.0014531249980791472,112,0,PASS
wine,178,13,3,4,12,166,52,invscaling_0003,invscaling,invscaling,0.0003,0.8614457831325302,0.8621698621698622,1.0941572055757074,0.0011276250006631017,7,0,PASS
wine,178,13,3,4,12,166,52,invscaling_001,invscaling,invscaling,0.001,0.8674698795180723,0.8676424150562081,1.0772964571408599,0.001163382999948226,16,0,PASS
wine,178,13,3,4,12,166,52,invscaling_003,invscaling,invscaling,0.003,0.8734939759036144,0.8730991209636842,0.9859534977895467,0.001234190996910911,59,0,PASS
wine,178,13,3,4,12,166,52,adaptive_0003,adaptive,adaptive,0.0003,0.8795180722891566,0.8805191329943804,0.7477947325523716,0.0014329750047181733,205,0,PASS
wine,178,13,3,4,12,166,52,adaptive_001,adaptive,adaptive,0.001,0.891566265060241,0.8926378539493293,0.5441353989702913,0.0014316809974843636,191,0,PASS
