dataset,train_per_class,macro_f1_range,best_schedule,best_macro_f1,worst_schedule,worst_macro_f1,runtime_ratio,max_mean_fit_seconds,min_mean_fit_seconds,schedule_count,convergence_warning_count,interpretable
breast_cancer,4,0.00558112629448837,adaptive_0003,0.9163042530067047,adaptive_003,0.9107231267122163,1.0866157190344066,0.000869521198910661,0.0008002103997569066,9,0,False
breast_cancer,8,0.009440848899635257,constant_001,0.9306761425005483,invscaling_0003,0.921235293600913,1.1706832460570296,0.0009395357010362204,0.0008025532988540363,9,0,False
breast_cancer,16,0.023039966974952586,adaptive_003,0.9400285676814448,invscaling_0003,0.9169886007064922,1.2753581312370526,0.0010525684992899187,0.0008253121013694908,9,0,True
breast_cancer,32,0.02596491202080653,constant_003,0.9456168618901308,invscaling_0003,0.9196519498693243,1.3159113769408013,0.0011990394996246323,0.0009111856015806552,9,0,True
digits,4,0.059217526829850375,constant_001,0.8030142749476139,invscaling_001,0.7437967481177635,3.820793504851857,0.009387890999641968,0.0024570527006289923,9,0,True
digits,8,0.08020050428146341,constant_003,0.8532110259991839,invscaling_001,0.7730105217177204,5.595061680160638,0.015244149501813808,0.0027245721983490514,9,0,True
digits,16,0.1052883530807448,adaptive_003,0.9035907865693694,invscaling_0003,0.7983024334886246,7.2619604599170415,0.023819091599580133,0.0032799808992422185,9,0,True
digits,32,0.11692039470926052,constant_003,0.9335580617138373,invscaling_0003,0.8166376670045767,7.4332855613439905,0.03812968349957373,0.005129586800467223,9,0,True
wine,4,0.03788354385306558,adaptive_003,0.911461602442872,invscaling_001,0.8735780585898064,1.247070314146584,0.0014820443000644445,0.0011884207997354679,9,0,True
wine,8,0.06727009647083526,adaptive_003,0.958651614159517,invscaling_001,0.8913815176886818,1.3720505169017065,0.0016626702999928966,0.0012118142003600951,9,0,True
wine,16,0.07464662806835631,adaptive_003,0.9616087241962973,invscaling_001,0.886962096127941,1.6743130989720483,0.0020579282005201093,0.0012291179002204445,9,0,True
wine,32,0.08729483212396671,adaptive_003,0.9678144632509957,invscaling_001,0.880519631127029,2.328060486092713,0.0031256000002031215,0.0013425768011074979,9,0,True
