dataset,train_per_class,train_rows,test_rows,seed,schedule,schedule_family,learning_rate,eta0,power_t,n_iter,t_,final_learning_rate,final_learning_rate_note,test_log_loss,test_macro_f1,convergence_warning_count,max_iter,tol,alpha,class_weight
wine,4,12,166,14,constant_0003,constant,constant,0.0003,0.5,172,2065.0,0.0003,constant eta0,0.754753099591811,0.8788399872623729,0,1000,0.001,0.0001,balanced
wine,4,12,166,52,constant_0003,constant,constant,0.0003,0.5,185,2221.0,0.0003,constant eta0,0.7491542988180995,0.8805191329943804,0,1000,0.001,0.0001,balanced
wine,4,12,166,88,constant_0003,constant,constant,0.0003,0.5,190,2281.0,0.0003,constant eta0,0.7778221690053972,0.8732376386064393,0,1000,0.001,0.0001,balanced
wine,4,12,166,121,constant_0003,constant,constant,0.0003,0.5,177,2125.0,0.0003,constant eta0,0.763252690224957,0.8631531531531532,0,1000,0.001,0.0001,balanced
wine,4,12,166,169,constant_0003,constant,constant,0.0003,0.5,183,2197.0,0.0003,constant eta0,0.7522628832089202,0.8868856759823035,0,1000,0.001,0.0001,balanced
wine,4,12,166,203,constant_0003,constant,constant,0.0003,0.5,176,2113.0,0.0003,constant eta0,0.744032541600104,0.9244844901668895,0,1000,0.001,0.0001,balanced
wine,4,12,166,247,constant_0003,constant,constant,0.0003,0.5,174,2089.0,0.0003,constant eta0,0.7514029129303529,0.8734355948629241,0,1000,0.001,0.0001,balanced
wine,4,12,166,314,constant_0003,constant,constant,0.0003,0.5,184,2209.0,0.0003,constant eta0,0.7829601123206497,0.9036430380197245,0,1000,0.001,0.0001,balanced
wine,4,12,166,415,constant_0003,constant,constant,0.0003,0.5,174,2089.0,0.0003,constant eta0,0.7433610722406937,0.9223845450045746,0,1000,0.001,0.0001,balanced
wine,4,12,166,509,constant_0003,constant,constant,0.0003,0.5,177,2125.0,0.0003,constant eta0,0.7246786597511098,0.9056357929749534,0,1000,0.001,0.0001,balanced
wine,4,12,166,14,constant_001,constant,constant,0.001,0.5,162,1945.0,0.001,constant eta0,0.5379676476383802,0.9154015992361857,0,1000,0.001,0.0001,balanced
wine,4,12,166,52,constant_001,constant,constant,0.001,0.5,166,1993.0,0.001,constant eta0,0.5455763975185234,0.8926378539493293,0,1000,0.001,0.0001,balanced
wine,4,12,166,88,constant_001,constant,constant,0.001,0.5,157,1885.0,0.001,constant eta0,0.5758788682982099,0.8918256502633805,0,1000,0.001,0.0001,balanced
wine,4,12,166,121,constant_001,constant,constant,0.001,0.5,156,1873.0,0.001,constant eta0,0.5656804408332059,0.8699624060150377,0,1000,0.001,0.0001,balanced
wine,4,12,166,169,constant_001,constant,constant,0.001,0.5,161,1933.0,0.001,constant eta0,0.5694138782222322,0.8927174851454979,0,1000,0.001,0.0001,balanced
wine,4,12,166,203,constant_001,constant,constant,0.001,0.5,163,1957.0,0.001,constant eta0,0.5055280386610501,0.958942379166167,0,1000,0.001,0.0001,balanced
wine,4,12,166,247,constant_001,constant,constant,0.001,0.5,155,1861.0,0.001,constant eta0,0.5739405437521495,0.8647408504445576,0,1000,0.001,0.0001,balanced
wine,4,12,166,314,constant_001,constant,constant,0.001,0.5,151,1813.0,0.001,constant eta0,0.5346539607514527,0.9095093178151875,0,1000,0.001,0.0001,balanced
wine,4,12,166,415,constant_001,constant,constant,0.001,0.5,157,1885.0,0.001,constant eta0,0.5259229147882077,0.9350271756332691,0,1000,0.001,0.0001,balanced
wine,4,12,166,509,constant_001,constant,constant,0.001,0.5,165,1981.0,0.001,constant eta0,0.5150406010634344,0.9171552203374551,0,1000,0.001,0.0001,balanced
wine,4,12,166,14,constant_003,constant,constant,0.003,0.5,117,1405.0,0.003,constant eta0,0.41022126155098393,0.9215635863393965,0,1000,0.001,0.0001,balanced
wine,4,12,166,52,constant_003,constant,constant,0.003,0.5,112,1345.0,0.003,constant eta0,0.4319066708175237,0.8987106840765376,0,1000,0.001,0.0001,balanced
wine,4,12,166,88,constant_003,constant,constant,0.003,0.5,115,1381.0,0.003,constant eta0,0.4549066114367398,0.9039980904642558,0,1000,0.001,0.0001,balanced
wine,4,12,166,121,constant_003,constant,constant,0.003,0.5,117,1405.0,0.003,constant eta0,0.4561267991406507,0.8571669071669071,0,1000,0.001,0.0001,balanced
