dataset,train_per_class,comparison,left_schedule,right_schedule,n_pairs,mean_delta_macro_f1,std_delta_macro_f1,paired_t_statistic,p_value,p_value_method,holm_p,holm_significant_0_05
ag_news,128,optimal_builtin_minus_constant_01,optimal_builtin,constant_01,10,-0.014298255356577328,0.00499794420667406,-9.046730340268489,8.183722997323366e-06,scipy.stats.ttest_1samp_on_seed_deltas,0.000491023379839402,True
ag_news,64,optimal_builtin_minus_constant_01,optimal_builtin,constant_01,10,-0.024189195756562053,0.008572550927283656,-8.923009499420251,9.159209757646114e-06,scipy.stats.ttest_1samp_on_seed_deltas,0.0005403933757011207,True
ag_news,64,optimal_builtin_minus_adaptive_01,optimal_builtin,adaptive_01,10,-0.024343086644852584,0.008638403475126554,-8.91132247969383,9.257772923678028e-06,scipy.stats.ttest_1samp_on_seed_deltas,0.0005403933757011207,True
ag_news,128,optimal_builtin_minus_adaptive_01,optimal_builtin,adaptive_01,10,-0.014162291449053333,0.005043237184756571,-8.880228358384601,9.525735050330078e-06,scipy.stats.ttest_1samp_on_seed_deltas,0.0005429668978688144,True
ag_news,64,invscaling_001_minus_adaptive_01,invscaling_001,adaptive_01,10,-0.05361871367790753,0.019696524930863542,-8.608486066743852,1.2266563232582231e-05,scipy.stats.ttest_1samp_on_seed_deltas,0.0006869275410246049,True
ag_news,64,invscaling_001_minus_constant_01,invscaling_001,constant_01,10,-0.05346482278961699,0.019647653203837667,-8.605130239139372,1.2305423462247398e-05,scipy.stats.ttest_1samp_on_seed_deltas,0.0006869275410246049,True
ag_news,128,invscaling_001_minus_constant_01,invscaling_001,constant_01,10,-0.04616924014749045,0.017114658731971728,-8.530696345853336,1.3203110782303533e-05,scipy.stats.ttest_1samp_on_seed_deltas,0.0007129679822443908,True
ag_news,128,invscaling_001_minus_adaptive_01,invscaling_001,adaptive_01,10,-0.04603327623996646,0.01725627944160533,-8.435769806035523,1.445395298121041e-05,scipy.stats.ttest_1samp_on_seed_deltas,0.0007660595080041517,True
ag_news,128,constant_001_minus_constant_01,constant_001,constant_01,10,-0.0280934475264219,0.012999543034434017,-6.834031109754662,7.608465447230399e-05,scipy.stats.ttest_1samp_on_seed_deltas,0.003956402032559808,True
ag_news,128,constant_001_minus_adaptive_01,constant_001,adaptive_01,10,-0.027957483618897903,0.012962237531312995,-6.820529686251547,7.724788332757104e-05,scipy.stats.ttest_1samp_on_seed_deltas,0.003956402032559808,True
