dataset,train_split,eval_split,train_per_class,train_rows,test_per_class_cap,test_rows,seed,test_selection_seed,schedule,schedule_family,learning_rate,eta0,accuracy,macro_f1,log_loss,fit_seconds,n_iter,convergence_warning_count,status
ag_news,train,test,16,64,500,2000,14,20260801,constant_001,constant,constant,0.001,0.4935,0.4742215745501355,1.3856817723177028,0.008584755007177591,6,0,PASS
ag_news,train,test,16,64,500,2000,14,20260801,invscaling_001,invscaling,invscaling,0.001,0.4945,0.4759083491067623,1.386234110072744,0.004644807995646261,6,0,PASS
ag_news,train,test,16,64,500,2000,14,20260801,adaptive_001,adaptive,adaptive,0.001,0.4935,0.4742215745501355,1.385553806899846,0.0052702510001836345,31,0,PASS
ag_news,train,test,16,64,500,2000,14,20260801,optimal_builtin,optimal,optimal,0.001,0.502,0.4988372418875373,1.9478704752301075,0.004920471998048015,9,0,PASS
ag_news,train,test,16,64,500,2000,14,20260801,constant_01,constant,constant,0.01,0.515,0.5086717980684223,1.2453737865246237,0.006998030992690474,169,0,PASS
ag_news,train,test,16,64,500,2000,14,20260801,adaptive_01,adaptive,adaptive,0.01,0.5165,0.5103922906668428,1.244695565409068,0.00758864100498613,199,0,PASS
ag_news,train,test,16,64,500,2000,52,20260801,constant_001,constant,constant,0.001,0.466,0.44342468570005505,1.3857040560321938,0.004613709999830462,6,0,PASS
ag_news,train,test,16,64,500,2000,52,20260801,invscaling_001,invscaling,invscaling,0.001,0.465,0.4386053665392359,1.3862408803834159,0.004787465994013473,6,0,PASS
ag_news,train,test,16,64,500,2000,52,20260801,adaptive_001,adaptive,adaptive,0.001,0.466,0.44342468570005505,1.3855807533871927,0.004938237994792871,31,0,PASS
ag_news,train,test,16,64,500,2000,52,20260801,optimal_builtin,optimal,optimal,0.001,0.465,0.45997156619402124,2.4003185870870776,0.004839544999413192,9,0,PASS
ag_news,train,test,16,64,500,2000,52,20260801,constant_01,constant,constant,0.01,0.495,0.48345949360089474,1.2538593178538386,0.0067742139945039526,165,0,PASS
ag_news,train,test,16,64,500,2000,52,20260801,adaptive_01,adaptive,adaptive,0.01,0.495,0.48345949360089474,1.253227929270307,0.007420879002893344,195,0,PASS
ag_news,train,test,16,64,500,2000,88,20260801,constant_001,constant,constant,0.001,0.5015,0.49503996418346413,1.385629007256207,0.04005286299798172,6,0,PASS
ag_news,train,test,16,64,500,2000,88,20260801,invscaling_001,invscaling,invscaling,0.001,0.458,0.43788247080285597,1.386224465110432,0.004624053006409667,6,0,PASS
ag_news,train,test,16,64,500,2000,88,20260801,adaptive_001,adaptive,adaptive,0.001,0.5015,0.49503996418346413,1.3854900428388983,0.005197088001295924,31,0,PASS
ag_news,train,test,16,64,500,2000,88,20260801,optimal_builtin,optimal,optimal,0.001,0.491,0.4879322062394913,2.147658811305875,0.004744938996736892,11,0,PASS
ag_news,train,test,16,64,500,2000,88,20260801,constant_01,constant,constant,0.01,0.512,0.5100711583154312,1.2351962898583695,0.007480351006961428,173,0,PASS
ag_news,train,test,16,64,500,2000,88,20260801,adaptive_01,adaptive,adaptive,0.01,0.512,0.5100711583154312,1.234501104546725,0.007517122008721344,203,0,PASS
ag_news,train,test,16,64,500,2000,121,20260801,constant_001,constant,constant,0.001,0.502,0.4907781237589828,1.3856300444726628,0.00449888598814141,6,0,PASS
ag_news,train,test,16,64,500,2000,121,20260801,invscaling_001,invscaling,invscaling,0.001,0.4785,0.4674230740636755,1.3862298131187245,0.0045926549937576056,6,0,PASS
ag_news,train,test,16,64,500,2000,121,20260801,adaptive_001,adaptive,adaptive,0.001,0.502,0.4907781237589828,1.3854912934426447,0.004849211996770464,31,0,PASS
ag_news,train,test,16,64,500,2000,121,20260801,optimal_builtin,optimal,optimal,0.001,0.498,0.49315452125072495,2.005282269252617,0.004855655992287211,9,0,PASS
ag_news,train,test,16,64,500,2000,121,20260801,constant_01,constant,constant,0.01,0.5145,0.5084235290756665,1.2344091156507122,0.006799466995289549,168,0,PASS
ag_news,train,test,16,64,500,2000,121,20260801,adaptive_01,adaptive,adaptive,0.01,0.5145,0.5084235290756665,1.233716679426011,0.007754019999993034,198,0,PASS
ag_news,train,test,16,64,500,2000,169,20260801,constant_001,constant,constant,0.001,0.471,0.45816901525215326,1.3856596066466045,0.00458179900306277,6,0,PASS
ag_news,train,test,16,64,500,2000,169,20260801,invscaling_001,invscaling,invscaling,0.001,0.462,0.4429939067637484,1.3862312016156495,0.004496898007346317,6,0,PASS
ag_news,train,test,16,64,500,2000,169,20260801,adaptive_001,adaptive,adaptive,0.001,0.4705,0.45766492462017727,1.385527017534108,0.005320396012393758,31,0,PASS
ag_news,train,test,16,64,500,2000,169,20260801,optimal_builtin,optimal,optimal,0.001,0.478,0.4746189696199479,2.21826212842175,0.004578663007123396,9,0,PASS
ag_news,train,test,16,64,500,2000,169,20260801,constant_01,constant,constant,0.01,0.486,0.4796541625237207,1.2436350008161638,0.0070159300084924325,174,0,PASS
ag_news,train,test,16,64,500,2000,169,20260801,adaptive_01,adaptive,adaptive,0.01,0.4855,0.47923769575623315,1.2430216127813642,0.0075937270012218505,204,0,PASS
ag_news,train,test,16,64,500,2000,203,20260801,constant_001,constant,constant,0.001,0.5045,0.48795746581793265,1.385676685570852,0.004761302989209071,6,0,PASS
ag_news,train,test,16,64,500,2000,203,20260801,invscaling_001,invscaling,invscaling,0.001,0.4825,0.4494146083952365,1.386235989369733,0.004699304001405835,6,0,PASS
ag_news,train,test,16,64,500,2000,203,20260801,adaptive_001,adaptive,adaptive,0.001,0.5045,0.48795746581793265,1.3855476260353157,0.004910032992484048,31,0,PASS
ag_news,train,test,16,64,500,2000,203,20260801,optimal_builtin,optimal,optimal,0.001,0.4625,0.45358781954391747,2.2658878762957055,0.00455841000075452,9,0,PASS
ag_news,train,test,16,64,500,2000,203,20260801,constant_01,constant,constant,0.01,0.509,0.49736663825862304,1.245549818755679,0.006746077007846907,168,0,PASS
ag_news,train,test,16,64,500,2000,203,20260801,adaptive_01,adaptive,adaptive,0.01,0.509,0.49736663825862304,1.2449005590573115,0.007577611002488993,198,0,PASS
ag_news,train,test,16,64,500,2000,247,20260801,constant_001,constant,constant,0.001,0.4645,0.4519155570390143,1.3857749132783723,0.004823975003091618,6,0,PASS
ag_news,train,test,16,64,500,2000,247,20260801,invscaling_001,invscaling,invscaling,0.001,0.423,0.40267234573814326,1.3862434863906101,0.004635710007278249,6,0,PASS
ag_news,train,test,16,64,500,2000,247,20260801,adaptive_001,adaptive,adaptive,0.001,0.4645,0.4519155570390143,1.3856663784710852,0.00496168399695307,31,0,PASS
ag_news,train,test,16,64,500,2000,247,20260801,optimal_builtin,optimal,optimal,0.001,0.479,0.47672849181624816,2.0779504205419728,0.0046117849997244775,9,0,PASS
ag_news,train,test,16,64,500,2000,247,20260801,constant_01,constant,constant,0.01,0.489,0.4831822523151764,1.2636111595361563,0.007074078996083699,166,0,PASS
ag_news,train,test,16,64,500,2000,247,20260801,adaptive_01,adaptive,adaptive,0.01,0.489,0.4831822523151764,1.2630084467973293,0.007477792998543009,196,0,PASS
ag_news,train,test,16,64,500,2000,314,20260801,constant_001,constant,constant,0.001,0.49,0.4798971122173189,1.3857414860043682,0.00466182098898571,6,0,PASS
ag_news,train,test,16,64,500,2000,314,20260801,invscaling_001,invscaling,invscaling,0.001,0.4795,0.46652731072248377,1.3862378072671746,0.004931329996907152,6,0,PASS
ag_news,train,test,16,64,500,2000,314,20260801,adaptive_001,adaptive,adaptive,0.001,0.4895,0.4794966706968582,1.3856258963269164,0.004825151001568884,31,0,PASS
ag_news,train,test,16,64,500,2000,314,20260801,optimal_builtin,optimal,optimal,0.001,0.481,0.47606903903159326,2.3268770629972586,0.004424719998496585,9,0,PASS
ag_news,train,test,16,64,500,2000,314,20260801,constant_01,constant,constant,0.01,0.498,0.49303622224389854,1.2586314994024963,0.0068805709888692945,153,0,PASS
ag_news,train,test,16,64,500,2000,314,20260801,adaptive_01,adaptive,adaptive,0.01,0.498,0.49303622224389854,1.257903779419604,0.006907482005772181,183,0,PASS
ag_news,train,test,16,64,500,2000,415,20260801,constant_001,constant,constant,0.001,0.487,0.47620749686350067,1.3856528557566448,0.0042690099944593385,6,0,PASS
ag_news,train,test,16,64,500,2000,415,20260801,invscaling_001,invscaling,invscaling,0.001,0.462,0.43525360582745715,1.386231964730135,0.004303505003917962,6,0,PASS
ag_news,train,test,16,64,500,2000,415,20260801,adaptive_001,adaptive,adaptive,0.001,0.487,0.47620749686350067,1.3855187951090124,0.004711733010481112,31,0,PASS
ag_news,train,test,16,64,500,2000,415,20260801,optimal_builtin,optimal,optimal,0.001,0.5035,0.5014153094047563,2.172314976229176,0.004445381011464633,9,0,PASS
ag_news,train,test,16,64,500,2000,415,20260801,constant_01,constant,constant,0.01,0.4945,0.48707991282401025,1.2382994498918205,0.007013473004917614,161,0,PASS
ag_news,train,test,16,64,500,2000,415,20260801,adaptive_01,adaptive,adaptive,0.01,0.4945,0.4870588302821121,1.237579880996246,0.007233309006551281,191,0,PASS
ag_news,train,test,16,64,500,2000,509,20260801,constant_001,constant,constant,0.001,0.512,0.5031033155683137,1.3856869923842483,0.004764892990351655,6,0,PASS
ag_news,train,test,16,64,500,2000,509,20260801,invscaling_001,invscaling,invscaling,0.001,0.516,0.49962782755664403,1.3862314651058922,0.004582246008794755,6,0,PASS
ag_news,train,test,16,64,500,2000,509,20260801,adaptive_001,adaptive,adaptive,0.001,0.512,0.5031033155683137,1.3855601115751943,0.004890238997177221,31,0,PASS
ag_news,train,test,16,64,500,2000,509,20260801,optimal_builtin,optimal,optimal,0.001,0.5115,0.5012984702450717,2.0991549058887573,0.004374800002551638,10,0,PASS
ag_news,train,test,16,64,500,2000,509,20260801,constant_01,constant,constant,0.01,0.517,0.507698556307229,1.2419392496507236,0.007211121992440894,167,0,PASS
ag_news,train,test,16,64,500,2000,509,20260801,adaptive_01,adaptive,adaptive,0.01,0.517,0.507698556307229,1.2412588653189691,0.00715456300531514,197,0,PASS
ag_news,train,test,32,128,500,2000,14,20260801,constant_001,constant,constant,0.001,0.5555,0.5458240554997459,1.3851890362843415,0.007324022997636348,6,0,PASS
ag_news,train,test,32,128,500,2000,14,20260801,invscaling_001,invscaling,invscaling,0.001,0.553,0.5387411039472988,1.386217156429382,0.007283922997885384,6,0,PASS
ag_news,train,test,32,128,500,2000,14,20260801,adaptive_001,adaptive,adaptive,0.001,0.5555,0.5458240554997459,1.38495778200802,0.00842815000214614,31,0,PASS
ag_news,train,test,32,128,500,2000,14,20260801,optimal_builtin,optimal,optimal,0.001,0.6015,0.5985861335681573,1.4432913995673025,0.007422939001116902,9,0,PASS
ag_news,train,test,32,128,500,2000,14,20260801,constant_01,constant,constant,0.01,0.621,0.6153938112194908,1.1431588491168754,0.012385230002109893,171,0,PASS
ag_news,train,test,32,128,500,2000,14,20260801,adaptive_01,adaptive,adaptive,0.01,0.621,0.6153938112194908,1.142076978547913,0.013531567994505167,201,0,PASS
ag_news,train,test,32,128,500,2000,52,20260801,constant_001,constant,constant,0.001,0.5505,0.5374134425678079,1.3851030642367705,0.007205658999737352,6,0,PASS
ag_news,train,test,32,128,500,2000,52,20260801,invscaling_001,invscaling,invscaling,0.001,0.5695,0.5515564140154133,1.3862110764827582,0.007363811993855052,6,0,PASS
ag_news,train,test,32,128,500,2000,52,20260801,adaptive_001,adaptive,adaptive,0.001,0.5505,0.5374134425678079,1.384853900466979,0.008148124994477257,31,0,PASS
ag_news,train,test,32,128,500,2000,52,20260801,optimal_builtin,optimal,optimal,0.001,0.5895,0.5818537202323624,1.6384634801574476,0.007385566990706138,9,0,PASS
ag_news,train,test,32,128,500,2000,52,20260801,constant_01,constant,constant,0.01,0.6035,0.5935811703604559,1.142731281482074,0.012465705003705807,165,0,PASS
ag_news,train,test,32,128,500,2000,52,20260801,adaptive_01,adaptive,adaptive,0.01,0.6035,0.5937551882405941,1.1416803040727332,0.013205705006839707,195,0,PASS
ag_news,train,test,32,128,500,2000,88,20260801,constant_001,constant,constant,0.001,0.6015,0.5963596399014128,1.3852174322599686,0.0072489150043111295,6,0,PASS
ag_news,train,test,32,128,500,2000,88,20260801,invscaling_001,invscaling,invscaling,0.001,0.6135,0.6119910799978078,1.3862203801840975,0.007060493007884361,6,0,PASS
ag_news,train,test,32,128,500,2000,88,20260801,adaptive_001,adaptive,adaptive,0.001,0.6015,0.5963596399014128,1.3849920180064628,0.008068349998211488,31,0,PASS
ag_news,train,test,32,128,500,2000,88,20260801,optimal_builtin,optimal,optimal,0.001,0.5835,0.5837947793930144,1.5412582605161635,0.0072714540001470596,9,0,PASS
ag_news,train,test,32,128,500,2000,88,20260801,constant_01,constant,constant,0.01,0.6195,0.617513459349581,1.1459200329440755,0.01242558799276594,168,0,PASS
ag_news,train,test,32,128,500,2000,88,20260801,adaptive_01,adaptive,adaptive,0.01,0.6195,0.617513459349581,1.1448570618858749,0.01333851699018851,198,0,PASS
ag_news,train,test,32,128,500,2000,121,20260801,constant_001,constant,constant,0.001,0.5975,0.5920649939739155,1.3852223189738213,0.007194960999186151,6,0,PASS
ag_news,train,test,32,128,500,2000,121,20260801,invscaling_001,invscaling,invscaling,0.001,0.598,0.592288044327117,1.3862214261262749,0.007097390000126325,6,0,PASS
ag_news,train,test,32,128,500,2000,121,20260801,adaptive_001,adaptive,adaptive,0.001,0.5975,0.5920649939739155,1.3849979337651734,0.007837797995307483,31,0,PASS
ag_news,train,test,32,128,500,2000,121,20260801,optimal_builtin,optimal,optimal,0.001,0.569,0.564801679445736,1.5583667658723115,0.00711219799995888,9,0,PASS
ag_news,train,test,32,128,500,2000,121,20260801,constant_01,constant,constant,0.01,0.605,0.6025032124683646,1.1473532334656815,0.012332074998994358,163,0,PASS
ag_news,train,test,32,128,500,2000,121,20260801,adaptive_01,adaptive,adaptive,0.01,0.605,0.6025032124683646,1.1462793304172454,0.013391715998295695,193,0,PASS
ag_news,train,test,32,128,500,2000,169,20260801,constant_001,constant,constant,0.001,0.624,0.6175375722651686,1.385150673195417,0.0070685920072719455,6,0,PASS
ag_news,train,test,32,128,500,2000,169,20260801,invscaling_001,invscaling,invscaling,0.001,0.6095,0.5998766168860894,1.3862141779213173,0.007281017999048345,6,0,PASS
ag_news,train,test,32,128,500,2000,169,20260801,adaptive_001,adaptive,adaptive,0.001,0.624,0.6175375722651686,1.3849112838137143,0.007995894004125148,31,0,PASS
ag_news,train,test,32,128,500,2000,169,20260801,optimal_builtin,optimal,optimal,0.001,0.5905,0.5909634726520164,1.5054631134560925,0.007146808988181874,9,0,PASS
ag_news,train,test,32,128,500,2000,169,20260801,constant_01,constant,constant,0.01,0.6295,0.6268809571679116,1.1310551779546272,0.01254878799954895,168,0,PASS
ag_news,train,test,32,128,500,2000,169,20260801,adaptive_01,adaptive,adaptive,0.01,0.629,0.6264253117524287,1.129952308807505,0.013450363010633737,198,0,PASS
ag_news,train,test,32,128,500,2000,203,20260801,constant_001,constant,constant,0.001,0.577,0.5619361753861727,1.385176700213959,0.008318235995830037,6,0,PASS
