dataset,train_per_class,schedule,schedule_family,learning_rate,eta0,seed_count,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_log_loss,mean_fit_seconds,mean_n_iter,convergence_warning_count
ag_news,16,adaptive_001,adaptive,adaptive,0.001,10,0.4891,0.016965324111911973,0.4759809778798435,0.019582586665969293,1.3855561721620215,0.004987402500410099,31.0,0
ag_news,16,adaptive_01,adaptive,adaptive,0.01,10,0.5031000000000001,0.011976365614548233,0.4959926666822107,0.012425177299108948,1.2453814423022933,0.0074225147036486305,196.4,0
ag_news,16,constant_001,constant,constant,0.001,10,0.48919999999999997,0.016906934803341617,0.47607143109508715,0.01953908250073613,1.3856837419719856,0.008561301496229135,6.0,0
ag_news,16,constant_01,constant,constant,0.01,10,0.503,0.011716559980547955,0.49586437235330727,0.01214977503957333,1.2460504687940583,0.006999331498809625,166.4,0
ag_news,16,invscaling_001,invscaling,invscaling,0.001,10,0.4721,0.024713693909787476,0.4516308865516243,0.02680742979903076,1.3862341183164513,0.0046297975015477276,6.0,0
ag_news,16,optimal_builtin,optimal,optimal,0.001,10,0.48715,0.016665083258117837,0.4823613635233309,0.01700044145481501,2.16615775132503,0.004635437100660056,9.3,0
ag_news,32,adaptive_001,adaptive,adaptive,0.001,10,0.59245,0.0247290315216751,0.5837763598289093,0.027336884654355034,1.3849555279839971,0.008109015502850526,31.0,0
ag_news,32,adaptive_01,adaptive,adaptive,0.01,10,0.61795,0.011344234952903017,0.6133179782221749,0.012509597611269466,1.139674045669503,0.013362758698349353,196.4,0
ag_news,32,constant_001,constant,constant,0.001,10,0.5924,0.024742900216246113,0.583714699733963,0.02735922028745364,1.3851872397709462,0.007332956801110413,6.0,0
ag_news,32,constant_01,constant,constant,0.01,10,0.6179500000000001,0.011295156287345275,0.6133008165018142,0.012482682499978328,1.1407774307655647,0.01234659339825157,166.4,0
ag_news,32,invscaling_001,invscaling,invscaling,0.001,10,0.5908000000000001,0.02054966882674484,0.580714799134508,0.024381940900256412,1.3862177528159851,0.007220362199586816,6.0,0
ag_news,32,optimal_builtin,optimal,optimal,0.001,10,0.59385,0.015288067242133673,0.5909888885111816,0.015295242945865577,1.5085579716202635,0.007288251296267844,9.0,0
ag_news,64,adaptive_001,adaptive,adaptive,0.001,10,0.4705500000000001,0.14036409995278548,0.41890862457909994,0.17827491749380164,1.3757341595435615,0.016912550001870842,65.2,0
ag_news,64,adaptive_01,adaptive,adaptive,0.01,10,0.72075,0.015583556148139695,0.718001492675454,0.0154795561485362,1.0150198590760584,0.026320357497024816,191.8,0
ag_news,64,constant_001,constant,constant,0.001,10,0.46375,0.14086858533162505,0.40926776029813555,0.17972453477323944,1.3761380265609704,0.015116321700043045,40.2,0
ag_news,64,constant_01,constant,constant,0.01,10,0.7205999999999999,0.015500537625084708,0.7178476017871634,0.015376228667385094,1.0165123418330375,0.024160874001972844,161.8,0
ag_news,64,invscaling_001,invscaling,invscaling,0.001,10,0.66965,0.022315975841933903,0.6643827789975465,0.021682624174349584,1.3862034075541265,0.012988015699374956,6.0,0
ag_news,64,optimal_builtin,optimal,optimal,0.001,10,0.6951,0.012262861728722938,0.6936584060306015,0.012652025227409087,1.0151687403613026,0.013051567600632552,9.0,0
ag_news,128,adaptive_001,adaptive,adaptive,0.001,10,0.75845,0.014690227288159231,0.7544986438748976,0.014164273765915036,1.3466299039312273,0.039253573599853556,100.1,0
ag_news,128,adaptive_01,adaptive,adaptive,0.01,10,0.7843,0.007071853442423086,0.7821072328797388,0.007253471755999979,0.8868162161263335,0.05235545830219053,183.2,0
ag_news,128,constant_001,constant,constant,0.001,10,0.7581,0.014805779652254417,0.754149749260841,0.014252338871566447,1.3473398104724,0.03442944229609566,75.1,0
ag_news,128,constant_01,constant,constant,0.01,10,0.78445,0.0070728353579028016,0.7822431967872628,0.0072421665425000175,0.8885718064141525,0.047354558898950926,153.2,0
ag_news,128,invscaling_001,invscaling,invscaling,0.001,10,0.7403500000000001,0.020798036766323233,0.7360739566397724,0.02088969771356493,1.386190148761812,0.02393863650067942,6.0,0
ag_news,128,optimal_builtin,optimal,optimal,0.001,10,0.76925,0.008835691509126175,0.7679449414306856,0.009051049031899091,0.7136092696785503,0.024093633198936003,9.0,0
